Armstrong Neil Female salmon 11/27/1978
West Gordon Male indigo 08/31/1932
Fahey Cassidy Female plum 05/22/1952
Bailey Troy Female grey 09/16/1963
Pacocha Danial Female olive 07/04/1933
Adams Chung Female fuchsia 01/28/1967
D'Amore Stuart Female olive 03/20/1925
Herman Albertha Female blue 12/30/1992
Daniel Yong Male olive 06/22/1949
Bins Tijuana Male orchid 01/15/1977
Weissnat Damion Female yellow 11/12/1936
Zemlak Pricilla Female blue 01/27/1936
Moore Mauro Female red 01/31/1993
Abshire Samual Male turquoise 01/30/1930
Reinger Caroline Male maroon 07/06/1940
Gutkowski Jena Male fuchsia 06/10/1997
Mayert Louie Female black 09/29/1943
Hammes Myrna Female ivory 12/12/1995
Waters Irmgard Male azure 05/03/1966
Funk Avery Female silver 07/06/1928
